Rank,Name,City,State,Public/Private,Undergrad Population,Student Population,Net Price,Average Grant Aid,Total Annual Cost,Alumni Salary,Acceptance Rate,SAT Lower,SAT Upper,ACT Lower,ACT Upper
19,Williams College,Williamstown,MA,Private,2134,2227,22667,48050,70650,127500,15,1400,1570,31,35
20,"University of Michigan, Ann Arbor",Ann Arbor,MI,Public,29773,46002,14860,18751,62176,112200,27,1330,1500,30,33
21,Rice University,Houston,TX,Private,4036,7022,20237,36387,63158,129500,16,1490,1580,33,35
22,Johns Hopkins University,Baltimore,MD,Private,7825,25151,33586,38542,69863,117100,13,1450,1570,33,35
23,Harvey Mudd College,Claremont,CA,Private,847,861,34464,33782,74428,158200,15,1470,1570,33,35
24,United States Naval Academy,Annapolis,MD,Public,4495,4526,0,0,0,152800,8,1150,1370,28,32
25,Swarthmore College,Swarthmore,PA,Private,1577,1630,20511,46105,68846,123200,11,1380,1540,31,34
26,Bowdoin College,Brunswick,ME,Private,1816,1965,22810,41143,68070,112000,14,1400,1550,31,34
27,Vanderbilt University,Nashville,TN,Private,7006,12592,19959,41359,67392,119100,11,1440,1570,32,35
28,Amherst College,Amherst,MA,Private,1836,1945,22463,49467,71300,116500,13,1400,1560,32,34
29,Claremont McKenna College,Claremont,CA,Private,1345,1364,26933,40673,71745,125400,10,1340,1510,30,34
30,University of Southern California,Los Angeles,CA,Private,20582,45687,30232,36686,72209,120600,16,1300,1500,30,34
31,Washington University in St. Louis,St. Louis,MO,Private,8533,15303,28540,41977,71975,114900,16,1470,1570,32,34
32,United States Military Academy,West Point,NY,Public,4491,4568,0,0,0,144000,10,1185,1400,23,28
33,University of Virginia,Charlottesville,VA,Public,18432,24360,20547,21171,62633,117500,27,1310,1500,29,33
34,Tufts University,Medford,MA,Private,5960,11449,32620,38605,70600,118100,15,1410,1540,31,34
35,New York University,New York,NY,Private,30252,51123,40336,31542,71790,117700,28,1290,1490,29,33
36,Middlebury College,Middlebury,VT,Private,2591,3855,26075,43491,69464,109800,17,1320,1510,30,34
37,Carnegie Mellon University,Pittsburgh,PA,Private,6941,13869,31102,38163,70094,136100,22,1430,1560,32,35
38,"University of California, Los Angeles",Los Angeles,CA,Public,33148,44027,14309,20011,61915,116100,16,1220,1450,29,34
39,Bates College,Lewiston,ME,Private,1787,1905,25192,43238,68870,111900,22,1350,1490,30,33
40,Wesleyan University,Middletown,CT,Private,3123,3213,29956,43276,69935,117000,16,1350,1520,30,34
41,Boston College,Chestnut Hill,MA,Private,10304,14628,34550,40716,70588,115400,32,1320,1490,31,33
42,Washington and Lee University,Lexington,VA,Private,1855,2220,24761,39671,65950,123200,22,1350,1490,31,33
43,United States Air Force Academy,Colorado Springs,CO,Public,4237,4276,0,0,0,138100,12,1210,1390,28,32
44,Wellesley College,Wellesley,MA,Private,2508,2688,23188,45777,69034,106200,22,1360,1530,30,33
45,"University of North Carolina, Chapel Hill",Chapel Hill,NC,Public,19429,29911,14163,17291,51152,100800,24,1270,1460,28,33
46,Colgate University,Hamilton,NY,Private,2894,3025,23310,45108,69860,130600,28,1310,1500,31,33
47,College of William &amp; Mary,Williamsburg,VA,Public,6822,8740,19720,18738,59012,108900,36,1300,1480,29,33
48,Davidson College,Davidson,NC,Private,1810,1959,21206,36359,66678,106900,20,1310,1470,30,33
49,Haverford College,Haverford,PA,Private,1296,1326,26607,45805,71614,112300,20,1390,1530,31,34
50,Barnard College,New York,NY,Private,2544,2668,25007,44776,71282,109800,15,1310,1500,30,33
51,Santa Clara University,Santa Clara,CA,Private,5754,8629,33738,26671,69439,134700,54,1270,1440,28,32
52,Carleton College,Northfield,MN,Private,2078,2155,27898,38342,68835,109900,21,1360,1530,31,34
53,United States Coast Guard Academy,New London,CT,Public,896,1044,0,0,0,118100,15,1180,1343,26,31
54,Pitzer College,Claremont,CA,Private,1074,1087,28423,41257,70500,96600,16,1300,1500,29,34
55,Emory University,Atlanta,GA,Private,7859,14263,26760,38213,66950,110800,22,1350,1520,30,33
56,Wake Forest University,Winston-Salem,NC,Private,5068,8116,33382,42495,69130,114800,28,1310,1510,31,33
57,Lafayette College,Easton,PA,Private,2569,2594,30820,39957,68640,122500,31,1260,1440,28,31
58,Cooper Union,New York,NY,Private,921,946,14564,32452,65045,126200,13,1310,1530,28,34
59,Hamilton College,Clinton,NY,Private,1901,2043,24140,43611,67670,108100,24,1360,1510,31,33
60,Scripps College,Claremont,CA,Private,1083,1092,30974,31633,71060,98600,33,1290,1460,29,33
61,Vassar College,Poughkeepsie,NY,Private,2353,2572,23687,44517,70370,100100,24,1330,1500,30,33
62,Babson College,Babson Park,MA,Private,2354,3329,35540,36717,68432,133800,24,1230,1410,27,32
63,"University of Maryland, College Park",College Park,MD,Public,32022,40521,18517,8955,49698,113400,45,1280,1470,29,33
64,"University of Washington, Seattle",Seattle,WA,Public,38781,46166,12899,14051,51159,112300,46,1190,1420,27,32
65,Georgia Institute of Technology,Atlanta,GA,Public,17223,29376,13291,12779,49366,133400,23,1090,1520,30,34
66,United States Merchant Marine Academy,Kings Point,NY,Public,912,975,6758,3597,8646,140700,22,1210,1280,26,28
67,Lehigh University,Bethlehem,PA,Private,5337,7017,34212,36014,65925,134100,25,1270,1430,29,32
68,"University of Illinois, Urbana-Champaign",Champaign,IL,Public,35476,48216,18377,13595,46202,115300,62,1340,1500,26,32
69,"University of Wisconsin, Madison",Madison,WI,Public,33863,42977,19880,6733,49885,104400,54,1280,1450,27,31
70,University of Florida,Gainesville,FL,Public,37851,52669,12345,6636,43409,102800,42,1240,1400,28,32
71,Kenyon College,Gambier,OH,Private,1677,1795,30504,34966,69180,103800,34,1263,1460,29,33
72,Villanova University,Villanova,PA,Private,7873,10967,41858,30163,68231,119500,36,1250,1440,30,33
73,Bucknell University,Lewisburg,PA,Private,3678,3740,40976,29783,70125,122900,31,1250,1420,28,31
74,Boston University,Boston,MA,Private,22829,33355,37065,34156,70302,113600,25,1300,1480,29,32
75,Colby College,Waterville,ME,Private,1917,2032,20739,45463,68582,103300,16,1340,1500,31,33
76,"University of Texas, Austin",Austin,TX,Public,42827,51525,16960,10644,51786,112800,36,1220,1460,26,33
77,College of the Holy Cross,Worcester,MA,Private,2806,2855,34159,36963,66220,114600,40,1220,1440,27,33
78,George Washington University,Washington,DC,Private,12358,27973,31956,29429,69368,115300,41,1280,1440,29,32
79,"University of California, San Diego",San Diego,CA,Public,29613,35772,14630,18231,60177,123700,34,1210,1410,27,33
80,Grinnell College,Grinnell,IA,Private,1712,1765,22844,33946,66214,96500,29,1310,1510,30,34
